Player_ID,Player_Name,Sport,Matches,Points,Assists,Accuracy,Speed,Stamina,Training_Hours,Wins
P001,Rahul,Football,20,85,12,88,82,85,120,15
P002,Amit,Cricket,18,78,15,84,75,80,110,13
P003,Akash,Basketball,22,92,18,91,88,90,135,18
P004,Rohan,Football,16,70,10,79,80,78,95,11
P005,Vijay,Cricket,20,88,14,89,83,86,125,16
P006,Sahil,Badminton,15,75,20,86,90,82,105,12
P007,Aditya,Football,24,95,16,93,91,94,145,20
P008,Om,Basketball,19,82,17,87,85,88,115,14
P009,Kunal,Cricket,17,72,11,81,78,79,90,10
P010,Pranav,Badminton,21,90,22,92,94,91,140,18
P011,Tejas,Football,18,80,13,85,84,83,115,14
P012,Sameer,Cricket,23,91,16,90,86,89,130,17
P013,Yash,Basketball,20,86,19,89,87,90,125,16
P014,Arjun,Badminton,16,77,18,84,89,85,100,13
P015,Nikhil,Football,22,89,15,91,88,92,135,18
P016,Manish,Cricket,19,76,12,82,80,81,100,12
P017,Harsh,Basketball,21,94,21,93,92,95,150,19
P018,Varun,Badminton,18,83,19,88,91,87,120,15
P019,Aniket,Football,17,74,9,80,77,79,85,10
P020,Abhishek,Cricket,22,87,15,89,84,88,125,16
